movieId,title
tt0084516,Poltergeist (1982)
tt0033467,Citizen Kane (1941)
tt0066921,A Clockwork Orange (1971)
tt0146316,Lara Croft: Tomb Raider (2001)
tt0112462,Batman Forever (1995)
tt0103776,Batman Returns (1992)
tt0298130,The Ring (2002)
tt0073486,One Flew Over the Cuckoo's Nest (1975)
tt0056869,The Birds (1963)
tt0050212,The Bridge on the River Kwai (1957)
tt0299658,Chicago (2002)
tt0211443,Jason X (2001)
tt0117998,Twister (1996)
tt0103772,Basic Instinct (1992)
tt0082340,Escape from New York (1981)
tt0329101,Freddy vs. Jason (2003)
tt0078788,Apocalypse Now (1979)
tt0102138,JFK (1991)
tt0162661,Sleepy Hollow (1999)
tt0175880,Magnolia (1999)
tt0105323,Scent of a Woman (1992)
tt0272338,Punch-Drunk Love (2002)
tt0049223,Forbidden Planet (1956)
tt0266308,Battle Royale (2000)
tt0080120,The Warriors (1979)
tt0071562,The Godfather Part II (1974)
tt0099674,The Godfather Part III (1990)
tt0293662,The Transporter (2002)
tt0278504,Insomnia (2002)
tt0064665,Midnight Cowboy (1969)
tt0032976,Rebecca (1940)
tt0092991,Evil Dead II (1987)
tt0054331,Spartacus (1960)
tt0126886,Election (1999)
tt0083907,The Evil Dead (1981)
tt0032138,The Wizard of Oz (1939)
tt0319262,The Day After Tomorrow (2004)
tt0268380,Ice Age (2002)
tt0076786,Suspiria (1977)
tt0061418,Bonnie and Clyde (1967)
tt0082096,Das Boot (1981)
tt0109830,Forrest Gump (1994)
tt0161081,What Lies Beneath (2000)
tt0177789,Galaxy Quest (1999)
tt0094226,The Untouchables (1987)
tt0099810,The Hunt for Red October (1990)
tt0250494,Legally Blonde (2001)
tt0287978,Daredevil (2003)
tt0259711,Vanilla Sky (2001)
tt0377109,The Ring Two (2005)
tt0373074,Kung Fu Hustle (2004)
tt0038650,It's a Wonderful Life (1946)
tt0280707,Gosford Park (2001)
tt0110475,The Mask (1994)
tt0075005,The Omen (1976)
tt0037008,Laura (1944)
tt0049730,The Searchers (1956)
tt0134084,Scream 3 (2000)
tt0087843,Once Upon a Time in America (1984)
tt0114709,Toy Story (1995)
tt0290334,X2: X-Men United (2003)
tt0087332,Ghostbusters (1984)
tt0087182,Dune (1984)
tt0094862,Child's Play (1988)
tt0110357,The Lion King (1994)
tt0099253,Child's Play 2 (1990)
tt0085636,Halloween III: Season of the Witch (1982)
tt0190590,"O Brother, Where Art Thou? (2000)"
tt0040746,Rope (1948)
tt0064116,Once Upon a Time in the West (1968)
tt0110632,Natural Born Killers (1994)
tt0103074,Thelma & Louise (1991)
tt0315327,Bruce Almighty (2003)
tt0119822,As Good as It Gets (1997)
tt0073629,The Rocky Horror Picture Show (1975)
tt0169547,American Beauty (1999)
tt0081398,Raging Bull (1980)
tt0085794,The King of Comedy (1982)
tt0117951,Trainspotting (1996)
tt0062765,Bullitt (1968)
tt0164184,The Sum of All Fears (2002)
tt0090859,Cobra (1986)
tt0181865,Traffic (2000)
tt0112641,Casino (1995)
tt0100405,Pretty Woman (1990)
tt0177971,The Perfect Storm (2000)
tt0140352,The Insider (1999)
tt0068473,Deliverance (1972)
tt0238380,Equilibrium (2002)
tt0092005,Stand by Me (1986)
tt0401792,Sin City (2005)
tt0112442,Bad Boys (1995)
tt0196229,Zoolander (2001)
tt0106308,Army of Darkness (1992)
tt0026029,The 39 Steps (1935)
tt0099423,Die Hard 2 (1990)
tt0053604,The Apartment (1960)
tt0112864,Die Hard with a Vengeance (1995)
tt0119177,Gattaca (1997)
tt0040897,The Treasure of the Sierra Madre (1948)
tt0093300,Jaws: The Revenge (1987)
tt0320691,Underworld (2003)
tt0066999,Dirty Harry (1971)
tt0185937,The Blair Witch Project (1999)
tt0057129,The Haunting (1963)
tt0049470,The Man Who Knew Too Much (1956)
tt0052311,Touch of Evil (1958)
tt0324216,The Texas Chainsaw Massacre (2003)
tt0107254,Jason Goes to Hell: The Final Friday (1993)
tt0096754,The Abyss (1989)
tt0071222,Black Christmas (1974)
tt0100403,Predator 2 (1990)
tt0113253,Halloween: The Curse of Michael Myers (1995)
tt0206314,Joy Ride (2001)
tt0119008,Donnie Brasco (1997)
tt0106856,Falling Down (1993)
tt0384806,The Amityville Horror (2005)
tt0091763,Platoon (1986)
tt0079501,Mad Max (1979)
tt0087298,Friday the 13th: The Final Chapter (1984)
tt0094012,Spaceballs (1987)
tt0082694,The Road Warrior (1981)
tt0082418,Friday the 13th Part 2 (1981)
tt0088846,Brazil (1985)
tt0120586,American History X (1998)
tt0064115,Butch Cassidy and the Sundance Kid (1969)
tt0119081,Event Horizon (1997)
tt0093010,Fatal Attraction (1987)
tt0120669,Fear and Loathing in Las Vegas (1998)
tt0375679,Crash (2004)
tt0068611,Frenzy (1972)
tt0120681,From Hell (2001)
tt0091042,Ferris Bueller's Day Off (1986)
tt0274558,The Hours (2002)
tt0371724,The Hitchhiker's Guide to the Galaxy (2005)
tt0089530,Mad Max Beyond Thunderdome (1985)
tt0043456,The Day the Earth Stood Still (1951)
tt0119567,The Lost World: Jurassic Park (1997)
tt0119698,Princess Mononoke (1997)
tt0108399,True Romance (1993)
tt0048424,The Night of the Hunter (1955)
tt0320661,Kingdom of Heaven (2005)
tt0017136,Metropolis (1927)
tt0258463,The Bourne Identity (2002)
tt0047478,Seven Samurai (1954)
tt0030341,The Lady Vanishes (1938)
tt0089880,Rambo: First Blood Part II (1985)
tt0397065,House of Wax (2005)
tt0121766,Star Wars: Episode III
tt0311113,Master and Commander: The Far Side of the World (2003)
tt0044706,High Noon (1952)
tt0080761,Friday the 13th (1980)
tt0043014,Sunset Blvd. (1950)
tt0089175,Fright Night (1985)
tt0187393,The Patriot (2000)
tt0086879,Amadeus (1984)
tt0041959,The Third Man (1949)
tt0211915,Amélie (2001)
tt0046912,Dial M for Murder (1954)
tt0118749,Boogie Nights (1997)
